,FUND_NAME,RD_FEES,MA_FEES,MA_FEES_DAILY,AD_FEES,CUS_FEES
0,成惠民汇58号,,0.0007,1.92E-06,,0.0001
1,纯债1号,,0.005,1.37E-05,-,0.0001
2,港惠1号,,0.0015,4.11E-06,-,0.0001
3,港惠2号,,0.005,1.37E-05,0.005,0.0001
4,港惠3号,,0.005,1.37E-05,,0.0001
5,和谐5号,,0.002,5.48E-06,-,0.0001
6,和谐6号,,0.002,5.48E-06,-,0.0001
7,和谐7号,,0.002,5.48E-06,-,0.0001
8,和谐8号,,0.002,5.48E-06,-,0.0001
9,华信,,0.005,1.37E-05,,0.0001
10,汇通10号,,0.005,1.37E-05,,0.0001
11,汇通1号,,0.002,5.48E-06,0,0.0001
12,汇通2号,,0.002,5.48E-06,0,0.0001
13,汇通6号,,0.002,5.48E-06,-,0.0001
14,汇通7号,,0.003,8.22E-06,-,0.0001
15,汇通9号,-,0.0015,4.11E-06,-,0.0001
16,惠安1号,,0.004,1.10E-05,0.004,0.0001
17,惠诚,,0.004,1.10E-05,,0.0001
18,惠鑫14号,,0.002,5.48E-06,,0.0001
19,惠鑫32号,,0.004,1.10E-05,-,0.0001
20,惠鑫9号,,0.004,1.10E-05,,0.0001
21,惠盈,,0,0,,0.0001
22,吉惠2号,,0.001,2.74E-06,,0.0001
23,金享,,0.0075,2.06E-05,0.0075,0.0001
24,进取3号,,0.005,1.37E-05,0.005,0.0001
25,进取6号,,0.004,1.10E-05,0.006,0.0001
26,精选策略FOF1号,,0.002,5.48E-06,,0.0001
27,璟惠1号,,0.005,1.37E-05,0.005,0.0001
28,聚鑫10号,,0.0025,6.85E-06,-,0.0001
29,聚鑫11号,,0.003,8.22E-06,-,0.0001
30,聚鑫12号,,0.005,1.37E-05,,0.0001
31,聚鑫16号,,0.012,3.29E-05,0.01,0.0001
32,聚鑫18号,,0.012,3.29E-05,0.01,0.0001
33,聚鑫19号,,0.012,3.29E-05,0.01,0.0001
34,聚鑫1号,,0.002,5.48E-06,0,0.0001
35,聚鑫20号,,0.012,3.29E-05,0.01,0.0001
36,聚鑫21号,,0.012,3.29E-05,0.01,0.0001
37,聚鑫22号,,0.004,1.10E-05,,0.0001
38,聚鑫23号,,0.0015,4.11E-06,-,0.0001
39,聚鑫27号,,0.003,8.22E-06,,0.0001
40,聚鑫2号,,0.003,8.22E-06,,0.0001
41,聚鑫3号,,0.002,5.48E-06,-,0.0001
42,聚信2号,,0.002,5.48E-06,,0.0001
43,聚信3号,,0.002,5.48E-06,,0.0001
44,科技复兴动力1号,,0.002,5.48E-06,,0.0001
45,坤惠1号,,0.005,1.37E-05,0.005,0.0001
46,量化红利,,0.007,1.91781E-05,,0.0001
47,量化选股5号,,0.0027,7.40E-06,,0.0001
48,量化选股2号,,0.003,8.22E-06,0.005,0.0001
49,量化选股3号,,0.0027,7.40E-06,-,0.0001
50,量化选股4号,,0.002,5.48E-06,,0.0001
51,隆源稳健1号,,0.005,1.37E-05,0.005,0.0001
52,民华,,0.001,2.74E-06,-,0.0001
53,民汇10号,,0.003,8.22E-06,,0.0001
54,民汇11号,,0.003,8.22E-06,,0.0001
55,民汇12号,,0.003,8.22E-06,,0.0001
56,民汇13号,,0.003,8.22E-06,,0.0001
57,民汇19号,,0.002,5.48E-06,,0.0001
58,民汇1号,,0.002,5.48E-06,0,0.0001
59,民汇20号,,0.003,8.22E-06,,0.0001
60,民汇21号,,0.003,8.22E-06,,0.0001
61,民汇22号,,0.003,8.22E-06,-,0.0001
62,民汇23号,,0.002,5.48E-06,,0.0001
63,民汇28号,,0.003,8.22E-06,-,0.0001
64,民汇29号,,0.005,1.37E-05,-,0.0001
65,民汇32号,,0.0005,1.37E-06,-,0.0001
66,民汇35号,,0.003,8.22E-06,-,0.0001
67,民汇48号,,0.002,5.48E-06,,0.0001
68,民汇4号,,0.003,8.22E-06,,0.0001
69,民汇53号,,0.002,5.48E-06,,0.0001
70,民汇56号,,0.002,5.48E-06,,0.0001
71,民汇57号,,0.002,5.48E-06,,0.0001
72,民汇62号,,0.003,8.22E-06,,0.0001
73,民汇66号,,0,0.00E+00,,0.0001
74,民汇70号,,0.003,8.22E-06,,0.0001
75,民汇71号,,0.003,8.22E-06,,0.0001
76,民汇70号A,,0.003,8.22E-06,,0.0001
77,民汇70号B,,0.003,8.22E-06,,0.0001
78,民汇71号A,,0.003,8.22E-06,,0.0001
79,民汇71号B,,0.003,8.22E-06,,0.0001
80,民汇8号,,0.003,8.22E-06,,0.0001
81,民汇9号,,0.003,8.22E-06,,0.0001
82,民汇88号,,0.0015,4.11E-06,,0.0001
83,民汇多策略1号,0.002,0.002,5.48E-06,,0.0001
84,民银惠享1号,,0.0005,1.36986E-06,,0.0001
85,浦银惠享2号,,0.0005,1.36986E-06,,0.0001
86,浦银惠享3号,,0.0005,1.36986E-06,,0.0001
87,浦银惠享5号,,0.0005,1.36986E-06,,0.0001
88,浦银惠享6号,,0.0005,1.36986E-06,,0.0001
89,日日盈货币,,0.0025,6.85E-06,,0.0001
90,日添利货币,,0.0025,6.85E-06,,0.0001
91,泰山1号,,0.005,1.37E-05,0.0055,0.0001
92,泰山8号,,0.005,1.37E-05,,0.0001
93,天惠1号,,0.005,1.37E-05,,0.0001
94,通汇11号,,0.01,2.74E-05,,0.0001
95,通汇12号,,0.002,5.48E-06,,0.0001
96,通汇15号,,0.002,5.48E-06,,0.0001
97,通汇16号,,0.002,5.48E-06,,0.0001
98,通汇17号,,0.002,5.48E-06,,0.0001
99,通汇18号,,0.002,5.48E-06,,0.0001
100,通汇19号,,0.002,5.48E-06,-,0.0001
101,通汇1号,,0.002,5.48E-06,,0.0001
102,通汇20号,,0.002,5.48E-06,-,0.0001
103,通汇23号,,0.002,5.48E-06,-,0.0001
104,通汇24号,,0.005,1.37E-05,-,0.0001
105,通汇2号,,0.002,5.48E-06,,0.0001
106,通汇33号,,0.002,5.48E-06,,0.0001
107,通汇35号,,0.002,5.48E-06,-,0.0001
108,通汇36号,,0.002,5.48E-06,-,0.0001
109,通汇39号,,0.002,5.48E-06,-,0.0001
110,通汇3号,,0.002,5.48E-06,,0.0001
111,通汇40号,,0.002,5.48E-06,-,0.0001
112,通汇49号,,0.002,5.48E-06,-,0.0001
113,通汇52号,,0.002,5.48E-06,-,0.0001
114,通汇4号,,0.002,5.48E-06,0,0.0001
115,通汇5号,,0.002,5.48E-06,,0.0001
116,通汇6号,,0.002,5.48E-06,,0.0001
117,通汇7号,,0.002,5.48E-06,,0.0001
118,通汇9号,,0.01,2.74E-05,,0.0001
119,同惠1号,,0.005,1.37E-05,,0.0001
120,万富1号,,0.005,1.37E-05,0.005,0.0001
121,稳健收益,,0.006,1.64384E-05,,0.0001
122,稳健增利,,0.006,1.64384E-05,,0.0001
123,稳健增强,,0.006,1.64384E-05,,0.0001
124,享利1号,,0.006,1.64384E-05,,0.0001
125,享利2号,,0.006,1.64384E-05,,0.0001
126,享利3号,,0.006,1.64384E-05,,0.0001
127,新汇4号,,0.005,1.37E-05,,0.0001
128,新汇5号,,0.0019,5.21E-06,,0.0001
129,新能源新产业1号,,0.005,1.37E-05,,0.0001
130,信汇2号,,0.005,1.37E-05,0.01,0.0001
131,信民,,0.0075,2.05479E-05,,0.0001
132,信农,,0.0075,2.05479E-05,,0.0001
133,兴银惠享1号,,0.0005,1.36986E-06,,0.0001
134,远通1号,,0.005,1.37E-05,,0.0001
135,曜通1号,,0.005,1.37E-05,0.005,0.0001
136,胤通1号,,0.01,2.74E-05,0.001,0.0001
137,永汇1号,,0.01,2.74E-05,0.001,0.0001
138,月月盈理财债券,,0.003,8.22E-06,,0.0001
139,月长石,,0.005,1.37E-05,,0.0001
140,债券增强1号,,0.003,8.22E-06,-,0.0001
141,指数增强1号,,0.003,8.22E-06,0.002,0.0001
142,中短债,,0.004,1.09589E-05,,0.0001
143,中国龙,,0.002,5.48E-06,-,0.0001
144,中国龙2号,,0.006,1.64E-05,0.004,0.0001
145,周周盈,,0.003,8.22E-06,,0.0001
146,转债增强,,0.006,1.64E-05,,0.0001
